r,k,l,attack_beats_colonize,colonize_beats_defend,defend_beats_attack,min_margin,cycle_holds
0.8000,2.7500,0.1000,0.141142,0.167296,0.188005,0.141142,1
0.8000,2.7500,0.1500,-0.027504,0.167295,0.171008,-0.027504,0
0.8000,2.7500,0.2000,-0.160440,0.167295,0.361784,-0.160440,0
0.8000,2.7500,0.2500,-0.309311,0.167294,0.182269,-0.309311,0
0.8000,2.7500,0.3000,-0.384430,0.167294,0.126456,-0.384430,0
0.8000,2.7500,0.3500,-0.389695,0.167293,0.265254,-0.389695,0
0.8000,2.7500,0.4000,-0.355706,0.167293,0.189353,-0.355706,0
0.8000,2.7500,0.4500,-0.339383,0.167292,0.039186,-0.339383,0
0.8000,3.0000,0.0000,0.310974,0.167297,0.196240,0.167297,1
0.8000,3.0000,0.0500,0.026950,0.167297,0.182467,0.026950,0
0.8000,3.0000,0.1000,0.045917,0.167296,0.304428,0.045917,0
0.8000,3.0000,0.1500,-0.250610,0.167295,0.118657,-0.250610,0
0.8000,3.0000,0.2000,-0.366363,0.167295,0.073826,-0.366363,0
0.8000,3.0000,0.2500,-0.351882,0.167294,0.185826,-0.351882,0
0.8000,3.0000,0.3000,-0.366814,0.167294,0.143492,-0.366814,0
0.8000,3.0000,0.3500,-0.373318,0.167293,0.334896,-0.373318,0
0.8000,3.0000,0.4000,-0.277492,0.167293,0.134922,-0.277492,0
0.8000,3.0000,0.4500,-0.402220,0.167292,0.070995,-0.402220,0
1.0000,1.0000,0.0000,1.000000,0.167335,-0.749848,-0.749848,0
1.0000,1.0000,0.0500,1.000000,0.167335,-0.917149,-0.917149,0
1.0000,1.0000,0.1000,1.000000,0.167336,-0.916170,-0.916170,0
1.0000,1.0000,0.1500,1.000000,0.167336,-1.000000,-1.000000,0
1.0000,1.0000,0.2000,1.000000,0.167337,-0.746563,-0.746563,0
1.0000,1.0000,0.2500,1.000000,0.167337,-1.000000,-1.000000,0
1.0000,1.0000,0.3000,1.000000,0.167338,-0.666069,-0.666069,0
1.0000,1.0000,0.3500,1.000000,0.167338,-0.684689,-0.684689,0
1.0000,1.0000,0.4000,1.000000,0.167339,-0.368222,-0.368222,0
1.0000,1.0000,0.4500,1.000000,0.167339,-0.073888,-0.073888,0
1.0000,1.2500,0.0000,1.000000,0.167335,-0.695023,-0.695023,0
1.0000,1.2500,0.0500,1.000000,0.167335,-0.764046,-0.764046,0
1.0000,1.2500,0.1000,1.000000,0.167336,0.073545,0.073545,1
1.0000,1.2500,0.1500,1.000000,0.167336,0.014379,0.014379,0
1.0000,1.2500,0.2000,1.000000,0.167337,0.185736,0.167337,1
